force,month,outcome_group,crimes,pct_of_month
Metropolitan Police Service,2025-10-01,No suspect identified,40852,52.93
Metropolitan Police Service,2025-10-01,Out-of-court resolution,2695,3.49
Metropolitan Police Service,2025-10-01,Still in progress / no update,7636,9.89
Metropolitan Police Service,2025-10-01,"Suspect known, unable to prosecute",21524,27.89
Metropolitan Police Service,2025-11-01,Charged or court process,4042,5.35
Metropolitan Police Service,2025-11-01,Closed: not in the public interest,260,0.34
Metropolitan Police Service,2025-11-01,No suspect identified,39993,52.94
Metropolitan Police Service,2025-11-01,Out-of-court resolution,2580,3.42
Metropolitan Police Service,2025-11-01,Still in progress / no update,8470,11.21
Metropolitan Police Service,2025-11-01,"Suspect known, unable to prosecute",20193,26.73
Metropolitan Police Service,2025-12-01,Charged or court process,3901,5.29
Metropolitan Police Service,2025-12-01,Closed: not in the public interest,179,0.24
Metropolitan Police Service,2025-12-01,No suspect identified,38553,52.31
Metropolitan Police Service,2025-12-01,Out-of-court resolution,2349,3.19
Metropolitan Police Service,2025-12-01,Still in progress / no update,9856,13.37
Metropolitan Police Service,2025-12-01,"Suspect known, unable to prosecute",18856,25.59
Metropolitan Police Service,2026-01-01,Charged or court process,3874,5.54
Metropolitan Police Service,2026-01-01,Closed: not in the public interest,159,0.23
Metropolitan Police Service,2026-01-01,No suspect identified,33628,48.09
Metropolitan Police Service,2026-01-01,Out-of-court resolution,2055,2.94
Metropolitan Police Service,2026-01-01,Still in progress / no update,12565,17.97
Metropolitan Police Service,2026-01-01,"Suspect known, unable to prosecute",17647,25.24
Metropolitan Police Service,2026-02-01,Charged or court process,3274,4.83
Metropolitan Police Service,2026-02-01,Closed: not in the public interest,145,0.21
Metropolitan Police Service,2026-02-01,No suspect identified,31460,46.40
Metropolitan Police Service,2026-02-01,Out-of-court resolution,1750,2.58
Metropolitan Police Service,2026-02-01,Still in progress / no update,16312,24.06
Metropolitan Police Service,2026-02-01,"Suspect known, unable to prosecute",14859,21.92
Metropolitan Police Service,2026-03-01,Charged or court process,3090,4.20
Metropolitan Police Service,2026-03-01,Closed: not in the public interest,172,0.23
Metropolitan Police Service,2026-03-01,No suspect identified,31798,43.27
Metropolitan Police Service,2026-03-01,Out-of-court resolution,1431,1.95
Metropolitan Police Service,2026-03-01,Still in progress / no update,23354,31.78
Metropolitan Police Service,2026-03-01,"Suspect known, unable to prosecute",13648,18.57
Metropolitan Police Service,2026-04-01,Charged or court process,2262,3.17
Metropolitan Police Service,2026-04-01,Closed: not in the public interest,148,0.21
Metropolitan Police Service,2026-04-01,No suspect identified,26352,36.90
Metropolitan Police Service,2026-04-01,Out-of-court resolution,835,1.17
Metropolitan Police Service,2026-04-01,Still in progress / no update,33790,47.31
Metropolitan Police Service,2026-04-01,"Suspect known, unable to prosecute",8030,11.24
West Midlands Police,2024-04-01,Charged or court process,1717,6.52
West Midlands Police,2024-04-01,Closed: not in the public interest,71,0.27
West Midlands Police,2024-04-01,No suspect identified,9007,34.22
West Midlands Police,2024-04-01,Out-of-court resolution,1139,4.33
West Midlands Police,2024-04-01,Still in progress / no update,185,0.70
West Midlands Police,2024-04-01,"Suspect known, unable to prosecute",14204,53.96
West Midlands Police,2024-05-01,Charged or court process,1961,6.92
West Midlands Police,2024-05-01,Closed: not in the public interest,50,0.18
West Midlands Police,2024-05-01,No suspect identified,9081,32.06
West Midlands Police,2024-05-01,Out-of-court resolution,1380,4.87
West Midlands Police,2024-05-01,Still in progress / no update,268,0.95
West Midlands Police,2024-05-01,"Suspect known, unable to prosecute",15588,55.03
West Midlands Police,2024-06-01,Charged or court process,1991,7.30
West Midlands Police,2024-06-01,Closed: not in the public interest,54,0.20
West Midlands Police,2024-06-01,No suspect identified,8402,30.83
West Midlands Police,2024-06-01,Out-of-court resolution,1249,4.58
West Midlands Police,2024-06-01,Still in progress / no update,254,0.93
West Midlands Police,2024-06-01,"Suspect known, unable to prosecute",15307,56.16
West Midlands Police,2024-07-01,Charged or court process,2035,7.10
West Midlands Police,2024-07-01,Closed: not in the public interest,62,0.22
West Midlands Police,2024-07-01,No suspect identified,8954,31.26
West Midlands Police,2024-07-01,Out-of-court resolution,1295,4.52
West Midlands Police,2024-07-01,Still in progress / no update,291,1.02
West Midlands Police,2024-07-01,"Suspect known, unable to prosecute",16006,55.88
West Midlands Police,2024-08-01,Charged or court process,2112,8.06
West Midlands Police,2024-08-01,Closed: not in the public interest,26,0.10
West Midlands Police,2024-08-01,No suspect identified,8268,31.54
West Midlands Police,2024-08-01,Out-of-court resolution,1083,4.13
West Midlands Police,2024-08-01,Still in progress / no update,219,0.84
West Midlands Police,2024-08-01,"Suspect known, unable to prosecute",14504,55.33
West Midlands Police,2024-09-01,Charged or court process,1891,7.20
West Midlands Police,2024-09-01,Closed: not in the public interest,39,0.15
West Midlands Police,2024-09-01,No suspect identified,8565,32.60
West Midlands Police,2024-09-01,Out-of-court resolution,1348,5.13
West Midlands Police,2024-09-01,Still in progress / no update,308,1.17
West Midlands Police,2024-09-01,"Suspect known, unable to prosecute",14118,53.74
West Midlands Police,2024-10-01,Charged or court process,2261,8.53
West Midlands Police,2024-10-01,Closed: not in the public interest,49,0.18
West Midlands Police,2024-10-01,No suspect identified,8666,32.69
West Midlands Police,2024-10-01,Out-of-court resolution,1467,5.53
West Midlands Police,2024-10-01,Still in progress / no update,367,1.38
West Midlands Police,2024-10-01,"Suspect known, unable to prosecute",13696,51.67
West Midlands Police,2024-11-01,Charged or court process,2062,8.46
West Midlands Police,2024-11-01,Closed: not in the public interest,38,0.16
West Midlands Police,2024-11-01,No suspect identified,8822,36.20
West Midlands Police,2024-11-01,Out-of-court resolution,1320,5.42
West Midlands Police,2024-11-01,Still in progress / no update,362,1.49
West Midlands Police,2024-11-01,"Suspect known, unable to prosecute",11767,48.28
West Midlands Police,2024-12-01,Charged or court process,2089,8.80
West Midlands Police,2024-12-01,Closed: not in the public interest,29,0.12
West Midlands Police,2024-12-01,No suspect identified,7983,33.64
West Midlands Police,2024-12-01,Out-of-court resolution,1360,5.73
West Midlands Police,2024-12-01,Still in progress / no update,304,1.28
West Midlands Police,2024-12-01,"Suspect known, unable to prosecute",11966,50.42
West Midlands Police,2025-01-01,Charged or court process,2080,8.78
West Midlands Police,2025-01-01,Closed: not in the public interest,43,0.18
West Midlands Police,2025-01-01,No suspect identified,7785,32.87
West Midlands Police,2025-01-01,Out-of-court resolution,1468,6.20
West Midlands Police,2025-01-01,Still in progress / no update,448,1.89
West Midlands Police,2025-01-01,"Suspect known, unable to prosecute",11857,50.07
West Midlands Police,2025-02-01,Charged or court process,2072,9.19
West Midlands Police,2025-02-01,Closed: not in the public interest,24,0.11
West Midlands Police,2025-02-01,No suspect identified,7347,32.60
West Midlands Police,2025-02-01,Out-of-court resolution,1364,6.05
West Midlands Police,2025-02-01,Still in progress / no update,403,1.79
West Midlands Police,2025-02-01,"Suspect known, unable to prosecute",11328,50.26
West Midlands Police,2025-03-01,Charged or court process,2425,9.51
West Midlands Police,2025-03-01,Closed: not in the public interest,30,0.12
West Midlands Police,2025-03-01,No suspect identified,8017,31.45
West Midlands Police,2025-03-01,Out-of-court resolution,1449,5.68
West Midlands Police,2025-03-01,Still in progress / no update,440,1.73
West Midlands Police,2025-03-01,"Suspect known, unable to prosecute",13134,51.52
West Midlands Police,2025-04-01,Charged or court process,2255,9.12
West Midlands Police,2025-04-01,Closed: not in the public interest,28,0.11
West Midlands Police,2025-04-01,No suspect identified,8337,33.71
West Midlands Police,2025-04-01,Out-of-court resolution,1270,5.14
West Midlands Police,2025-04-01,Still in progress / no update,448,1.81
West Midlands Police,2025-04-01,"Suspect known, unable to prosecute",12393,50.11
West Midlands Police,2025-05-01,Charged or court process,2383,9.23
West Midlands Police,2025-05-01,Closed: not in the public interest,40,0.15
West Midlands Police,2025-05-01,No suspect identified,8312,32.20
West Midlands Police,2025-05-01,Out-of-court resolution,1355,5.25
West Midlands Police,2025-05-01,Still in progress / no update,576,2.23
West Midlands Police,2025-05-01,"Suspect known, unable to prosecute",13149,50.94
West Midlands Police,2025-06-01,Charged or court process,2492,9.55
West Midlands Police,2025-06-01,Closed: not in the public interest,37,0.14
West Midlands Police,2025-06-01,No suspect identified,8247,31.60
West Midlands Police,2025-06-01,Out-of-court resolution,1436,5.50
West Midlands Police,2025-06-01,Still in progress / no update,501,1.92
West Midlands Police,2025-06-01,"Suspect known, unable to prosecute",13381,51.28
West Midlands Police,2025-07-01,Charged or court process,2591,9.56
West Midlands Police,2025-07-01,Closed: not in the public interest,32,0.12
West Midlands Police,2025-07-01,No suspect identified,9204,33.96
West Midlands Police,2025-07-01,Out-of-court resolution,1415,5.22
West Midlands Police,2025-07-01,Still in progress / no update,595,2.20
West Midlands Police,2025-07-01,"Suspect known, unable to prosecute",13269,48.95
West Midlands Police,2025-08-01,Charged or court process,2403,9.50
West Midlands Police,2025-08-01,Closed: not in the public interest,23,0.09
West Midlands Police,2025-08-01,No suspect identified,9058,35.81
West Midlands Police,2025-08-01,Out-of-court resolution,1288,5.09
West Midlands Police,2025-08-01,Still in progress / no update,593,2.34
West Midlands Police,2025-08-01,"Suspect known, unable to prosecute",11931,47.17
West Midlands Police,2025-09-01,Charged or court process,2393,9.67
West Midlands Police,2025-09-01,Closed: not in the public interest,37,0.15
West Midlands Police,2025-09-01,No suspect identified,9027,36.49
West Midlands Police,2025-09-01,Out-of-court resolution,1411,5.70
West Midlands Police,2025-09-01,Still in progress / no update,700,2.83
West Midlands Police,2025-09-01,"Suspect known, unable to prosecute",11167,45.15
West Midlands Police,2025-10-01,Charged or court process,2376,9.27
West Midlands Police,2025-10-01,Closed: not in the public interest,30,0.12
West Midlands Police,2025-10-01,No suspect identified,9378,36.60
West Midlands Police,2025-10-01,Out-of-court resolution,1454,5.67
West Midlands Police,2025-10-01,Still in progress / no update,868,3.39
West Midlands Police,2025-10-01,"Suspect known, unable to prosecute",11518,44.95
West Midlands Police,2025-11-01,Charged or court process,2370,9.53
West Midlands Police,2025-11-01,Closed: not in the public interest,37,0.15
West Midlands Police,2025-11-01,No suspect identified,9104,36.59
West Midlands Police,2025-11-01,Out-of-court resolution,1411,5.67
West Midlands Police,2025-11-01,Still in progress / no update,1015,4.08
West Midlands Police,2025-11-01,"Suspect known, unable to prosecute",10941,43.98
West Midlands Police,2025-12-01,Charged or court process,2136,9.04
West Midlands Police,2025-12-01,Closed: not in the public interest,23,0.10
West Midlands Police,2025-12-01,No suspect identified,8430,35.67
West Midlands Police,2025-12-01,Out-of-court resolution,1285,5.44
West Midlands Police,2025-12-01,Still in progress / no update,1340,5.67
West Midlands Police,2025-12-01,"Suspect known, unable to prosecute",10420,44.09
West Midlands Police,2026-01-01,Charged or court process,2183,9.26
West Midlands Police,2026-01-01,Closed: not in the public interest,27,0.11
West Midlands Police,2026-01-01,No suspect identified,8447,35.82
West Midlands Police,2026-01-01,Out-of-court resolution,1351,5.73
West Midlands Police,2026-01-01,Still in progress / no update,2308,9.79
West Midlands Police,2026-01-01,"Suspect known, unable to prosecute",9265,39.29
West Midlands Police,2026-02-01,Charged or court process,1906,8.25
West Midlands Police,2026-02-01,Closed: not in the public interest,22,0.10
West Midlands Police,2026-02-01,No suspect identified,8651,37.45
West Midlands Police,2026-02-01,Out-of-court resolution,1175,5.09
West Midlands Police,2026-02-01,Still in progress / no update,3690,15.97
West Midlands Police,2026-02-01,"Suspect known, unable to prosecute",7656,33.14
West Midlands Police,2026-03-01,Charged or court process,1941,7.39
West Midlands Police,2026-03-01,Closed: not in the public interest,14,0.05
West Midlands Police,2026-03-01,No suspect identified,9115,34.69
West Midlands Police,2026-03-01,Out-of-court resolution,1266,4.82
West Midlands Police,2026-03-01,Still in progress / no update,5244,19.96
West Midlands Police,2026-03-01,"Suspect known, unable to prosecute",8699,33.10
West Midlands Police,2026-04-01,Charged or court process,1231,4.80
West Midlands Police,2026-04-01,Closed: not in the public interest,5,0.02
West Midlands Police,2026-04-01,No suspect identified,5947,23.19
West Midlands Police,2026-04-01,Out-of-court resolution,702,2.74
West Midlands Police,2026-04-01,Still in progress / no update,11950,46.60
West Midlands Police,2026-04-01,"Suspect known, unable to prosecute",5808,22.65
